category,id.1,id.2,HH_8_1,HH_8_2,HH_8_3,HH_8_4,HH_8_5,HH_8_6,HH_8_7,HH_8_8,year.diff.squared
Digital Art,2008,2010,1.82693118541322e-05,2.91567816671872e-05,4.31348186034513e-06,0.000207910809283557,0.000820107270076513,1.50228164645299e-05,1.51727652877084e-05,2.25064667132318e-05,4
Digital Art,2008,2009,5.23758908616451e-05,0.000333494374502984,3.03398112291908e-05,0.000116622796339335,0.000232053367675533,1.13817336631983e-05,6.60911347156601e-05,3.45036079062546e-07,1
Digital Art,2008,2004,0.0179942947265564,0.00416711732264461,0.00345089685366637,0.00300256202143606,0.000275956964056746,5.16523846366634e-05,0.00165088106229423,0.00117914607184492,16
Digital Art,2008,2005,0.00718196558075436,0.00278287754193697,0.00129298716217292,0.00143662539607198,0.000205057547299363,0.000171443565928369,0.000911866767026841,0.000672312249292212,9
Digital Art,2008,2006,0.005937484129873,0.000827459397511929,0.000903948013873038,0.000773046962513912,0.000634423031768341,0.000559168484765745,0.00126182912333715,0.000662080111118638,4
Digital Art,2008,2007,0.00483177598299636,2.19645561995906e-07,0.000136710781182589,7.65052441408614e-05,0.000413058294583342,0.000379035722279425,0.000561953016270891,0.000349282310337977,1
Digital Art,2008,2001,0.0193496433979298,0.00824937871058208,0.00667247414031671,6.75627671765273e-07,0.000677490414915978,8.61806780781441e-05,0.0030800856795898,0.000319578567294003,49
Digital Art,2008,2003,0.00127941513743968,0.00681743783920456,0.00252893153199474,0.00061899883375444,0.000318899596112851,1.32417042214465e-05,0.000752536887098413,0.000598073921250186,25
Digital Art,2008,2002,0.00825231253840013,0.0094526613270887,0.0062209603382366,0.00412264699774774,0.00400114455751319,0.000962113255582422,0.00230351950316038,0.00351923328693248,36
Digital Art,2010,2009,0.000132511881430232,0.000165434294166755,5.75329981036667e-05,1.3103742136279e-05,0.000179673035831095,2.52250353491155e-07,1.79303299274908e-05,2.84248475791473e-05,1
Digital Art,2010,2004,0.0168658410867703,0.00489341033191126,0.00321119901627934,0.00479068180398973,0.0020475143115439,0.000122387472437117,0.00198258774915189,0.000875840250171014,36
Digital Art,2010,2005,0.00647577766427697,0.00338173513243902,0.00114793831049911,0.00273758688804988,0.00184533354471011,0.000287966436086804,0.00116228868049375,0.000448799421968629,25
Digital Art,2010,2006,0.00529704637725124,0.00116726744984587,0.000783374933437252,0.00178276777320794,0.00289715976315112,0.000757497444273928,0.00155373596402281,0.000440446585348995,16
Digital Art,2010,2007,0.00425582909768766,3.44377146919859e-05,9.24568058418528e-05,0.000536656155103455,0.00239721386323377,0.000544978174170288,0.000761802593515033,0.000194462967410961,9
Digital Art,2010,2001,0.0181787875363845,0.00925940313664251,0.00633748483015861,0.000184882403879824,0.00298838917233034,0.000173166721528592,0.00352761670873954,0.00017246682287335,81
Digital Art,2010,2003,0.001603455828836,0.00773827740439357,0.00232435748153863,0.00154439566651571,0.00216181061510039,5.61749566443381e-08,0.000981420349902992,0.000388541332624285,49
Digital Art,2010,2002,0.00904714883714412,0.0105317879797289,0.00589765208960332,0.00618219802445169,0.00844416101234366,0.0012175827468562,0.00269259471966825,0.00297887029514421,64
Digital Art,2009,2004,0.0199882856325335,0.0068583310909652,0.00412838288982976,0.00430268332495175,0.00101411997535857,0.000111527156357034,0.00237760402393808,0.00121983205175386,25
Digital Art,2009,2005,0.00846098216135311,0.00504310386994741,0.00171945314735224,0.00237188919060777,0.000873387407204777,0.000271172908629179,0.00146894184992128,0.000703118538293734,16
Digital Art,2009,2006,0.00710517346686354,0.00221157845133642,0.00126550142447224,0.00149018586511519,0.00163386157275064,0.000730103429195232,0.00190548659564052,0.000692653711541094,9
Digital Art,2009,2007,0.00589027029939913,0.000350831328183978,0.000295857103024791,0.000382043423721804,0.00126430975109435,0.000521780824349839,0.00101347955414631,0.000371583211131956,4
Digital Art,2009,2001,0.0214154291435619,0.0119001740320139,0.00760268417740931,9.95452734889538e-05,0.00170254802557927,0.000160200595776299,0.00404854338634931,0.000340925140060799,64
Digital Art,2009,2003,0.00081406327125028,0.0101666093634691,0.00311326522511169,0.00127298323989943,0.0010950181261664,7.03484093585836e-08,0.00126465948610207,0.000627149225742734,36
Digital Art,2009,2002,0.00698981623643476,0.0133371608419236,0.00712019084990258,0.00562605690276282,0.00616035030019965,0.00118278442355965,0.00314997521370845,0.00358927086076501,49
Digital Art,2004,2005,0.00243999804843649,0.00013924535757306,0.000519211091328551,0.000285366596492156,5.2538227335418e-06,3.48889473923208e-05,0.000108866351319269,7.07232506607462e-05,1
Digital Art,2004,2006,0.00325901035608713,0.00128075368228463,0.000822462466409866,0.00072856356227948,7.35443996068866e-05,0.000270924499008016,2.60998526847028e-05,7.4093859370115e-05,4
Digital Art,2004,2007,0.004177274384778,0.00410682948681016,0.00221389033548163,0.00212050221197223,1.37780767501211e-05,0.000150844586939567,0.000286472126635281,0.000244909992443281,9
Digital Art,2004,2001,2.46033953613999e-05,0.000690264084996733,0.000526283932381699,0.00309331792414901,8.86741183367156e-05,4.39487429274047e-06,0.000221042077910826,0.000270995333028571,9
Digital Art,2004,2003,0.0288699951996262,0.000324524521029762,7.15014255485202e-05,0.000894964156340966,1.55203673420357e-06,0.000117199560835374,0.000174203831737166,9.76765850046272e-05,1
