category,id.1,id.2,VH_8_1,VH_8_2,VH_8_3,VH_8_4,VH_8_5,VH_8_6,VH_8_7,VH_8_8,year.diff.squared
Digital Art,2008,2010,0.00491349816701291,0.000226911036442209,1.079828779534e-05,0.000171935479300107,0.00126643756726611,0.00304110345402858,0.002251733331451,0.00254040200736645,4
Digital Art,2008,2009,0.00237119084061631,7.1938565666239e-05,1.25514878368559e-05,5.74007696034886e-06,9.43748664560832e-05,0.00137099925073948,0.000764248931610926,0.000743405835899647,1
Digital Art,2008,2004,0.00226156546460163,0.0134379901490172,0.0135408759148244,0.00838826693248778,0.00390532326965307,0.000275912318060962,0.0007461164716022,0.0321895613216738,16
Digital Art,2008,2005,0.0004201495920713,0.0117234577580835,0.0111003267626521,0.00589556739451364,0.00330591937287054,0.000233522659360712,5.98545275717415e-05,0.0149337437014521,9
Digital Art,2008,2006,0.00100530948752585,0.00868712244394376,0.00774661746618811,0.00379726490651711,0.00175048192311432,9.05109957981085e-05,2.80768004484252e-07,0.00989090813047111,4
Digital Art,2008,2007,9.11199472079457e-05,0.00156448219050722,0.000891865151270013,0.00139545702314232,7.15835110077714e-05,4.80466564440557e-07,7.58654063825102e-08,0.00189615824578658,1
Digital Art,2008,2001,0.00367207128158278,0.00740644768953709,0.00789047797162501,0.0173908297584754,1.46682682613955e-05,0.000667176565179742,0.00233486955575263,0.0218003810353476,49
Digital Art,2008,2003,0.0274682993488621,0.0413803370484076,0.0305741696074567,0.0217440703226967,0.00731062638343185,0.000692913064919939,0.00358875034868164,0.078288472597315,25
Digital Art,2008,2002,0.0154991196813924,0.0193040548316862,0.0232090436944202,0.00589519058611929,0.00401007846684166,0.000138000635198324,0.00124892277955901,0.00893213461902357,36
Digital Art,2010,2009,0.000458023101344939,4.33214862738712e-05,4.66336393942162e-05,0.0001148448986673,0.000669379497608485,0.000328305179476469,0.000392332291869779,0.000535317582917777,1
Digital Art,2010,2004,0.000508070976781382,0.0101724932640311,0.0127869042368673,0.0109620689322544,0.00961961339787808,0.00514903968401233,0.0004055108373689,0.016644120667132,36
